Position,Player,Matches,Innings,Not_Outs,Total_Runs,Batting_Average,Balls_Faced,Strike_Rate,Centuries,Fifties,Fours,Sixes,Highest_Score,Not_Out,Calculated_Avg
1,Virat Kohli,16,16,4,973,81.08,640,152.03,4,7,83,38,113,0,81.08333333333333
2,David Warner,17,17,3,848,60.57,560,151.42,0,9,88,31,93,1,60.57142857142857
3,Ab De Villiers,16,16,3,687,52.84,407,168.79,1,6,57,37,129,1,52.84615384615385
4,Gautam Gambhir,15,15,2,501,38.53,411,121.89,0,5,54,6,90,1,38.53846153846154
5,Shikhar Dhawan,17,17,4,501,38.53,429,116.78,0,4,51,8,82,1,38.53846153846154
6,Rohit Sharma,14,14,3,489,44.45,368,132.88,0,5,49,16,85,1,44.45454545454545
7,Ajinkya Rahane,14,14,3,480,43.63,379,126.64,0,6,54,9,74,0,43.63636363636363
8,Murali Vijay,14,14,1,453,34.84,364,124.45,0,5,50,10,89,0,34.84615384615385
9,Quinton De Kock,13,13,1,445,37.08,327,136.08,1,3,52,13,108,0,37.083333333333336
10,Suresh Raina,15,15,1,399,28.5,312,127.88,0,3,39,10,75,0,28.5
11,Kl Rahul,14,12,3,397,44.11,271,146.49,0,4,37,16,68,1,44.111111111111114
12,Robin Uthappa,15,15,0,394,26.26,289,136.33,0,3,45,8,72,0,26.266666666666666
13,Aaron Finch,13,12,2,393,39.3,299,131.43,0,5,45,11,74,0,39.3
14,Yusuf Pathan,15,13,8,361,72.2,248,145.56,0,3,33,13,63,1,72.2
15,Karun Nair,14,12,2,357,35.7,297,120.2,0,3,40,6,83,1,35.7
16,Brendon Mccullum,16,16,0,354,22.12,262,135.11,0,1,38,16,60,0,22.125
17,Dinesh Karthik,16,15,2,335,25.76,266,125.93,0,3,38,3,53,0,25.76923076923077
18,Ambati Rayudu,13,12,1,334,30.36,278,120.14,0,2,28,12,65,0,30.363636363636363
19,Dwayne Smith,12,12,1,324,29.45,221,146.6,0,3,35,16,73,0,29.454545454545453
20,Sanju Samson,14,14,3,291,26.45,259,112.35,0,1,20,8,60,0,26.454545454545453
21,Ms Dhoni,14,12,5,284,40.57,210,135.23,0,1,18,14,64,1,40.57142857142857
22,Steve Smith,8,7,1,270,45.0,176,153.4,1,0,27,8,101,0,45.0
23,Wriddhiman Saha,12,12,1,270,24.54,212,127.35,0,2,29,1,56,0,24.545454545454547
24,Jos Buttler,14,14,3,255,23.18,184,138.58,0,0,23,11,41,0,23.181818181818183
25,Manish Pandey,12,11,3,248,31.0,183,135.51,0,2,17,9,52,0,31.0
26,Krunal Pandya,12,9,3,237,39.5,124,191.12,0,1,22,13,86,0,39.5
27,Yuvraj Singh,10,10,1,236,26.22,179,131.84,0,0,22,13,44,0,26.22222222222222
28,Chris Gayle,10,10,0,227,22.7,150,151.33,0,2,17,21,76,0,22.7
29,Kieron Pollard,13,12,4,207,25.87,144,143.75,0,1,11,16,51,1,25.875
30,Faf Du Plessis,6,6,0,206,34.33,162,127.16,0,2,17,9,69,0,34.333333333333336
31,Rishabh Pant,10,10,2,198,24.75,152,130.26,0,1,19,6,69,0,24.75
32,Chris Morris,12,7,4,195,65.0,109,178.89,0,1,15,12,82,1,65.0
33,Jp Duminy,10,8,3,191,38.2,156,122.43,0,0,13,3,49,1,38.2
34,Ravindra Jadeja,15,15,6,191,21.22,178,107.3,0,0,14,4,36,1,21.22222222222222
35,Andre Russell,12,8,1,188,26.85,114,164.91,0,0,10,15,39,1,26.857142857142858
36,Suryakumar Yadav,15,11,4,182,26.0,143,127.27,0,1,18,5,60,0,26.0
37,Moises Henriques,17,15,3,182,15.16,158,115.18,0,0,15,6,31,1,15.166666666666666
38,Glenn Maxwell,11,11,2,179,19.88,124,144.35,0,2,14,8,68,0,19.88888888888889
39,Shane Watson,16,15,2,179,13.76,134,133.58,0,0,14,12,36,0,13.76923076923077
40,Parthiv Patel,10,10,0,177,17.7,152,116.44,0,1,23,4,81,0,17.7
41,Saurabh Tiwary,10,7,0,170,24.28,141,120.56,0,2,17,4,57,0,24.285714285714285
42,Manan Vohra,7,7,0,161,23.0,131,122.9,0,1,19,3,51,0,23.0
43,David Miller,14,13,3,161,16.1,131,122.9,0,0,11,4,31,0,16.1
44,Shaun Marsh,6,6,1,159,31.8,134,118.65,0,1,13,4,56,1,31.8
45,Hashim Amla,6,6,0,157,26.16,119,131.93,0,1,20,4,96,0,26.166666666666668
46,Thisara Perera,12,10,3,150,21.42,93,161.29,0,0,7,11,34,0,21.428571428571427
47,Marcus Stoinis,7,5,1,146,36.5,108,135.18,0,1,13,4,52,0,36.5
48,Deepak Hooda,17,15,1,144,10.28,121,119.0,0,0,9,5,34,0,10.285714285714286
49,Naman Ojha,17,13,3,136,13.6,138,98.55,0,0,7,5,37,0,13.6
50,Usman Khawaja,6,6,0,127,21.16,100,127.0,0,0,14,3,30,0,21.166666666666668
51,Kane Williamson,6,6,0,124,20.66,122,101.63,0,1,14,0,50,0,20.666666666666668
52,Eoin Morgan,7,6,1,123,24.6,105,117.14,0,1,8,4,51,0,24.6
53,Sachin Baby,11,6,1,119,23.8,79,150.63,0,0,9,5,33,0,23.8
54,Shakib Al Hasan,10,7,2,114,22.8,106,107.54,0,1,7,5,66,1,22.8
55,Gurkeerat Mann Singh,7,6,1,113,22.6,86,131.39,0,1,11,3,51,0,22.6
56,Axar Patel,14,10,3,111,15.85,77,144.15,0,0,4,8,36,1,15.857142857142858
57,Nitish Rana,4,3,0,104,34.66,75,138.66,0,1,7,8,70,0,34.666666666666664
58,Dwayne Bravo,15,13,5,99,12.37,82,120.73,0,0,11,1,22,1,12.375
59,Harbhajan Singh,14,7,4,92,30.66,84,109.52,0,0,11,2,45,1,30.666666666666668
60,Sam Billings,5,4,0,88,22.0,64,137.5,0,1,4,4,54,0,22.0
61,George Bailey,6,5,1,84,21.0,98,85.71,0,0,9,2,34,0,21.0
62,Carlos Brathwaite,8,6,0,83,13.83,38,218.42,0,0,6,8,34,0,13.833333333333334
63,James Faulkner,7,5,2,77,25.66,59,130.5,0,0,7,0,32,0,25.666666666666668
64,Kevin Pietersen,4,4,2,73,36.5,61,119.67,0,0,4,3,37,0,36.5
65,Sarfaraz Khan,5,4,2,66,33.0,31,212.9,0,0,7,4,35,1,33.0
66,Ben Cutting,4,4,2,65,32.5,34,191.17,0,0,4,6,39,1,32.5
67,Stuart Binny,14,6,3,63,21.0,39,161.53,0,0,5,4,21,0,21.0
68,Martin Guptill,3,3,0,57,19.0,55,103.63,0,0,3,3,48,0,19.0
69,Pawan Negi,8,6,4,57,28.5,59,96.61,0,0,2,3,19,1,28.5
70,Travis Head,3,3,1,54,27.0,40,135.0,0,0,3,2,37,0,27.0
71,Bipul Sharma,7,4,2,51,25.5,25,204.0,0,0,1,5,27,1,25.5
72,Ashish Reddy,4,3,1,47,23.5,29,162.06,0,0,2,4,32,0,23.5
73,Hardik Pandya,11,9,2,44,6.28,63,69.84,0,0,4,0,9,0,6.285714285714286
74,Bhuvneshwar Kumar,17,8,2,43,7.16,27,159.25,0,0,6,1,21,0,7.166666666666667
75,Kedar Jadhav,4,3,3,42,0.0,32,131.25,0,0,2,2,25,1,
76,Ishan Kishan,5,5,0,42,8.4,41,102.43,0,0,5,0,27,0,8.4
77,Ravichandran Ashwin,14,6,4,41,20.5,38,107.89,0,0,3,1,29,0,20.5
78,Iqbal Abdulla,8,2,2,37,0.0,27,137.03,0,0,4,1,33,1,
79,Karn Sharma,5,3,3,36,0.0,30,120.0,0,0,3,1,26,1,
80,Rajat Bhatia,10,6,5,34,34.0,20,170.0,0,0,1,2,21,0,34.0
81,Mitchell Mcclenaghan,14,5,2,34,11.33,23,147.82,0,0,2,3,20,0,11.333333333333334
82,Mohit Sharma,14,6,2,32,8.0,26,123.07,0,0,3,1,15,0,8.0
83,Colin Munro,4,3,0,30,10.0,30,100.0,0,0,3,0,16,0,10.0
84,Shreyas Iyer,6,6,0,30,5.0,43,69.76,0,0,2,1,19,0,5.0
85,Tim Southee,11,4,1,30,10.0,19,157.89,0,0,1,2,25,0,10.0
86,Praveen Kumar,16,7,3,28,7.0,27,103.7,0,0,4,0,15,0,7.0
87,Mayank Agarwal,3,3,0,27,9.0,25,108.0,0,0,3,1,10,0,9.0
88,Piyush Chawla,12,3,0,27,9.0,26,103.84,0,0,4,0,11,0,9.0
89,Chris Lynn,2,2,1,25,25.0,22,113.63,0,0,0,1,15,0,25.0
90,Eklavya Dwivedi,4,2,0,24,12.0,14,171.42,0,0,2,2,19,0,12.0
91,Rajagopal Sathish,4,3,0,24,8.0,24,100.0,0,0,1,1,10,0,8.0
92,Nikhil Naik,2,2,0,23,11.5,31,74.19,0,0,1,0,22,0,11.5
93,Dhawal Kulkarni,14,5,3,23,11.5,15,153.33,0,0,2,0,6,1,11.5
94,Jason Holder,4,4,0,22,5.5,19,115.78,0,0,2,1,13,0,5.5
95,Akshdeep Nath,4,3,0,20,6.66,27,74.07,0,0,1,0,12,0,6.666666666666667
96,Pradeep Sahu,5,2,1,19,19.0,13,146.15,0,0,1,1,18,1,19.0
97,Albie Morkel,2,1,0,16,16.0,9,177.77,0,0,0,2,16,0,16.0
98,Rishi Dhawan,2,2,2,14,0.0,6,233.33,0,0,0,1,11,1,
99,Farhaan Behardien,3,3,1,14,7.0,13,107.69,0,0,2,0,9,1,7.0
100,Vinay Kumar,3,2,1,13,13.0,12,108.33,0,0,0,1,12,0,13.0
101,Kc Cariappa,5,2,1,13,13.0,11,118.18,0,0,0,1,12,1,13.0
102,Kyle Abbott,5,3,2,13,13.0,8,162.5,0,0,0,1,12,1,13.0
103,Irfan Pathan,4,3,0,11,3.66,13,84.61,0,0,0,0,7,0,3.6666666666666665
104,Parveez Rasool,4,1,0,10,10.0,9,111.11,0,0,1,0,10,0,10.0
